str_no_string|,
str_npc4_personalitymatch_speech_b|Բարի ընտրութիւն արարեր զի ընկալար զնա ի բանակս: Ունի փորձառութիւն ի պատերազմի, եւ ի տարբերութիւն այլոց՝ զորոց զանունս ոչ յիշեցից, նա գիտէ յարգել զզինակիցս իւր:
str_npc5_personalitymatch_speech_b|Ինչ վերաբերի այլոց՝ որքան ես եմ Բարոն, նա եւս է Բարոն... Սակայն տեսանելով զաներես յամառութիւն նորա՝ մարդ յիրաւի հիանայ:
str_npc6_personalitymatch_speech_b|Պարտ է ինձ ասել զի {s11} է յիրաւի մխիթարիչ ընկեր: Պատմեցի նմա զմեղս իմ, եւ նա ասաց ինձ թէ եթէ յիրաւի զղջացայց եւ խնդրեցից զթողութիւն՝ երկինք թողցեն զյանցանս իմ: Է իմաստուն այր, եւ ուրախ եմ զի է ի բանակի մերում:
str_npc7_personalitymatch_speech_b|Եթէ յապագային չիցէ պէտք ծառայութեան մերոյ՝ խոստացաւ գալ ընդ իս ի հովիտսն զի օգնեսցէ ինձ ձերբակալել զաւազակսն, որք սպանին զսէր իմ: Այս էր ազնիւ առաջարկութիւն: Ուրախ եմ ունել զնա ի բանակի:
str_npc8_personalitymatch_speech_b|Յքառատող ոտանաւորի միում կարաց տեղաւորել զբովանդակ տոհմաբանութիւն իւր, զնկարագիրս եւ զսովորութիւնս ուտելոյ: Ես նախընտրէի զդիւցազներգութիւն, բայց մենք Նորդքս միշտ յարգեալ եմք զամենայն բանաստեղծական խօսս:
str_npc9_personalitymatch_speech_b|Եթէ ունէր զարիւն ազնուական՝ համբուրէի զձեռն նորա: Ո՜րքան ցաւալի է զի է դուստր վաճառականի: Բայց ի ճանապարհի խօսելն ընդ նմա լուսաւորէ զհոգի մարդոյ:
str_npc10_personalitymatch_speech_b|Հէհ: Այս ցուցանէ զի երիտասարդութիւնն չէ ամենայն ինչ, փորձառութիւնն եւս յաղթէ ի պատերազմի: Կարծեմ թէ դեռ ունիմք ինչ ուսուցանել պատանեակաց այսր աշխարհի, այնպէս չէ՞?
str_npc11_personalitymatch_speech_b|Կարծեմ թէ մանաւանդ ծերունին {s11} ցոյց տուաւ նոցա զարժանն: Որպէս զոյգ ոչ եմք վատ, եթէ հաշուեսցես զի միասին տեսեալ եմք զհարիւր ձմեռս:
str_npc12_personalitymatch_speech_b|Որքան եւ արդար լիցի դատ նորա՝ սակայն յոյժ տրտմի յորժամ հարկ լինի առնուլ զկեանքս արանց իւրոց: Խօսեցաք վասն պայծառ ապագայի, յորում միաւորեսցուք զթագաւորութիւնս Կալրադիոյ եւ թաղեսցուք զամենայն տագնապս ի պատմութեան:
str_npc13_personalitymatch_speech_b|Թէպէտ նախընտրեմ զերկչոտ Ամազոնս, պարտ է ինձ ասել զի տեսի թէ զիարդ ջանայ թաքուցանել զկանացի կողմն իւր ընդ պատերազմող կերպարանաւ... Ի ճանապարհի կամ ի բանակի է սակաւ մի ցուրտ, բայց թերեւս քաղցր խօսք իմ հալեսցեն զսառնամանիքս Նորդից ի սրտէ նորա:
str_npc14_personalitymatch_speech_b|Է վարպետ զինուոր, եւ թէպէտ սակաւ մի դանդաղ քան զայլս, բայց ունի զիմաստութիւն պահելոյ զկարգն պատերազմի: Բարի գործ գործեցեր զի ընկալար զնա ի բանակս:
str_npc15_personalitymatch_speech_b|Պատերազմն, որպէս եւ այլ բազում ինչ, պահանջէ զգոյշ յատակագիծ, ռազմավարական դիրքս եւ պատրաստութիւն: Եթէ ամենայն ինչ լիցի հաւասար՝ յաղթեսցէ բանակն լաւագոյնս կրթեալ: Կարծեմ թէ վերջին պատերազմն հաստատէ զայս: Այժմ արք քո թերեւս հայհոյեն նմա, բայց հաւաստիացուցանեմ զի եկեսցէ օր յորում շնորհակալ լիցին նմա:
str_npc16_personalitymatch_speech_b|Լուա՞ր զպատմութիւն նորա: Կարէ՞ միտք մարդոյ ընկալել զայն անիրաւութիւնս: Սառուցանէ զարիւն մարդոյ: Կամիմ հատանել զամենեսեան որք այնպէս չար վարեցան ընդ նմա - եթէ հանդիպեցայց նոցա ի ճանապարհի՝ հատից զնոսա!
str_npc1_retirement_speech|Յոգնեցայ յայսպէս մոլորելոյ յաշխարհի եւ հեղուլ զարիւն վասն այլոց: Աւարն բարի է, բայց կարծեմ թէ արդէն բաւական է: Դարձայց ի գեւղ իմ, գտից կին եւ սկսայց նոր կեանք: Եթէ արծաթն բաւեսցէ՝ կամիմ սնուցանել ձիս:
str_npc2_retirement_speech|Սկսայ յոյժ յոգնել ի պատերազմող կենաց: Զկուտակեալ արծաթն իմ ներդրից ի վաճառս - մորթիք, կերպասք, դիպակք - եւ ելից ի ճանապարհ: Շնորհակալ եմ յոյժ զի ընկալար զիս ի բանակ քո:
str_npc3_retirement_speech|Երկնչիմ զի պարտ է ինձ ասել ինչ քեզ... Որոշեցի զի ոչ կամիմ զպատերազմող կեանք: Թերեւս արդէն ուշ է վասն գեղեցիկ տան: Ոչ ոք ի մարդկանէ իմոց առնու զկին որ շրջեցաւ ընդ զինուորս, բայց կարծեմ թէ ունիմ բաւական արծաթ վասն վաճառականութեան: Յուսամ զի ոչ բարկանաս, {տէր/տիկին}:
str_npc4_retirement_speech|Ծառայեցի ի բանակի քում փառօք՝ վայել տոհմին Ռոլֆայ, բայց ոչ եմ հաճոյ ընդ առաջնորդութիւն քո: Դարձայց ի հայրենի հողս իմ, ի տուն իմ: Անդ ծառայութիւնք իմ լիցին յոյժ պիտանի:
str_npc5_retirement_speech|Բահադու՛ր - յորմէ հետէ ճաշակեցի զաղ քո՝ պատերազմեցայ վասն քո անվեհեր: Սակայն ոչ տեսի զայն առաջնորդութիւն զոր արժանի էր ծառայութեանց իմոց: Արդ դառնամ ի տուն իմ, յուսալով զի արք Խաղանին մոռացան զիս... եւ յուսալով տեսանել դարձեալ զհայր եւ զեղբարս իմ:
str_npc6_retirement_speech|Յարեցայ ի բանակս այս զի թերեւս փրկեսցիս զիս ի խաւարէն յորում բնակէի, եւ յիրաւի գտի աստ սակաւ մի ներքին խաղաղութիւն: Սակայն ունիմ տագնապս վասն առաջնորդութեան քո, եւ սկսայ խորհել թէ թերեւս լիցի հնար գտանել զճանապարհ սրբութեան յայլում տեղւոջ:
str_npc7_retirement_speech|Ձանձրացայ յայսպիսի անվերջ պատերազմաց, յորում մարդիկ կորուսանեն զանձինս վասն երկիւղի, ագահութեան եւ այլ բազում մեղաց: Ունիմ արծաթ ի քսակի իմում: Արդ երթամ յայնկոյս ծովուն, խնդրել զերկիր մի բնակելի քան զԿալրադիա: Կարծեմ թէ առանց իմ եւս բարի վարեսցիս:
str_npc8_retirement_speech|Պատերազմեցայ ընդ հովանեաւ վահանի քո եւ տեսի զբարութիւն ի քէն: Սակայն առաջնորդութիւն քո ոչ միշտ է հաճոյ ինձ: Արդ ունիմ այլ առաքելութիւն: Առեալ զաւարն իմ՝ մեկնիմ զի կազմեցից զիմ բանակ: Ապա նաւարկեցից ի Նորդլանդ զի յափշտակեցից զատեան ամուսնոյ իմոյ ի մատնիչ տեգրէ իմմէ: Ողջ լեր...
str_npc9_retirement_speech|Միասին բարւոք պատերազմեցաք եւ վաստակեցաք զփառս: Սակայն ունիմ սակաւ ինչ երկմտութիւնս վասն առաջնորդութեան քո, եւ արդէն սպասէ ինձ ժառանգութիւնն զոր պարտ է ինձ առնուլ: Մեկնիմ ի բանակէ քումէ, թերեւս տեսցուք զմիմեանս յապագային:
str_npc10_retirement_speech|Յոգնեցայ ի մոլորելոյ աստ եւ անդ ի Կալրադիա: Ժողովեցի սակաւ ինչ արծաթ վասն գնելոյ զհող, կարծեմ թէ փորձեցից զբախտ իմ: Այսքան էր, բարի բախտ քեզ...
str_npc11_retirement_speech|Ընկալեալ զպառաւ կին մի ի բանակ քո՝ արարեր մեծ բարութիւն: Բայց երկնչիմ զի զգացի թէ այս կեանք ոչ է հաճելի ինձ առաւել քան զվարելն զսայլ: Յոյժ ցուրտ է, սով, եւ յետոյ՝ մահ: Արդ մեկնիմ, բայց ոչ գիտեմ ուր երթամ:
str_npc12_retirement_speech|Բարի ժամանակս անցուցի ի բանակի քում: Կերայ զհաց իմ, լցի զքսակ իմ եւ յաւելի ի գիտութիւնս իմ վասն վիրաբուժութեան - ոչ կարեմ տրտնջալ! Բայց այժմ ծառայութիւնն աստ արգելու զիս: Ունիմ պարտս բաժանելոյ զգիտութիւնս իմ ընդ այլ վիրաբոյժս, եւ վասն այնորիկ պարտ է ինձ գտանել դպիրս, զոր դժուար է գտանել ի Կալրադիա: Պարտ է ինձ դառնալ ի հայրենիս իմ:
str_npc13_retirement_speech|Մինչ անուն քո առաւել պայծառանայ, երկնչիմ զի փառք իմ նուազին: Որպէս լուսինն նուազի ի ծագել արեգական: Որոշեցի այսուհետեւ ընթանալ միայնակ: Մաղթեմ քեզ բարի բախտ:
str_npc14_retirement_speech|Կամիմ ծանուցանել քեզ զի որոշեցի դադարեցուցանել զմեր գործակցութիւն: Կամիմ հետեւել այլոց արուեստից:
str_npc15_retirement_speech|Շնորհակալ եմ զի ընկալար զիս ի բանակս, բայց ոչ եմ հաճոյ ընդ այս վիճակ: Մեկնիմ աստի - թերեւս դառնայց ի տուն, թերեւս գտից այլ գործ, չեւ է որոշեալ:
str_npc16_retirement_speech|Բարի ժամանակս անցուցի ընդ այսմ խմբի, եւ ժողովեցի սակաւ ինչ զարդս ի պատերազմի, բայց այժմ այդ ոչ է բաւական ինձ: Թողում զքեզ զի մատուցից զծառայութիւնս իմ այլում ումեք:
str_npc1_rehire_speech|Առաջնո՛րդ, բարի է տեսանել զքեզ դարձեալ: Գիտեմ զի ունէաք վէճս յառաջագոյն, բայց այն օրք էին լաւագոյնք ի կեանս իմ: Ճշմարիտն ասացից՝ յոյժ դժուարացայ գտանել գործ յայսմ ժամանակի: Եթէ կամիս ընդունել զիս դարձեալ ի բանակ քո՝ ուրախութեամբ յարեցայց ի քեզ:
str_npc2_rehire_speech|{Տէր/Տիկին}! Բարի է տեսանել զքեզ դարձեալ: Խոստովանիմ զի խնդրէի զքեզ: Որպէս ասացի՝ գնեցի բազում վաճառս, բեռնեցի եւ ելի ի ճանապարհ ընդ տափաստանս - բայց դարձեալ յարձակեցան ի վերայ իմ Խերգիթք եւ կորուսի զամենայն ինչ: Կարծեմ թէ բախտ իմ է պատերազմել վասն արծաթոյ: Մարդիկ ասեն թէ յոյժ հարստացար: Արդ ասա՛ ինձ, {տէր/տիկին}, կամի՞ս ընդունել զիս դարձեալ ի բանակ քո:
str_npc3_rehire_speech|Ողջո՜յն, {տէր/տիկին}! Բարի է տեսանել զքեզ դարձեալ: Երկնչիմ զի յորմէ հետէ բաժանեցաք՝ ոչ կարացի ուղղել զգործս իմ: Տոհմ իմ, յորոց յուսայի օգնութիւն վասն վաճառականութեան, ոչ ընկալան զայս բան բարւոք: Մօրաքոյրք իմ ոչինչ արարին բաց ի յորդորելոյ զիս թէ զիարդ կորուսի զբախտ ամուսնութեան յարելով ի բանակ վարձկանաց: Թերեւս յիրաւի առաւել յարմար եմ պատերազմի քան վաճառականութեան, եւ բաժանելոյ զմիսն խիստ ի խարոյկի քան խնճոյից ընդ մարդկան Վելուկոյ: {Տէր/Տիկին}, ընդունի՞ս զիս դարձեալ ի բանակ քո:
str_npc4_rehire_speech|Ողջո՜յն, առաջնո՛րդ! Բազում ժամանակ անց: Լուայ թէ յոյժ հարստացար: Ինձ վերաբերեալ՝ ունեցայ խնդիրս ընդ հողս իմ - մարախ, երաշտ, անպիտան ստրուկք, եւ այլն: Խորհեցայ դարձեալ առնուլ զսուր: Գիտեմ զի ունէաք տագնապս, բայց հպարտ լիցիմ ծառայել քեզ դարձեալ:
str_npc5_rehire_speech|{playername} Բահադու՛ր! Փառք քո աճեն - մինչեւ իսկ ի հայրենիս իմ յայնկոյս լերանց լուան զքեզ: Այո՛, դարձայ անդ, յուսալով զի արք Խաղանին ոչ յիշեն զիս: Բայց ոչ մոռացան: Յառաջ քան զմտանելն իմ ի հովիտն՝ լուայ թէ Խաղանն եւ Հումեանն խնդրեն զիս: Արդ դարձայ աստ, յուսալով զի մոռացար զկոպիտ խօսս իմ, զի դարձեալ պատերազմեցայց ընդ քեզ:
str_npc6_rehire_speech|Բարի է տեսանել զքեզ, {տէր/տիկին}: Ուր եւ երթամ՝ մարդիկ զարմանօք խօսին վասն գործոց քոց: Յորմէ հետէ մեկնեցայ ի քէն՝ գործք իմ ոչ յաջողեցան: Ուր եւ երթամ՝ դեւք իմ դառնան: Հոգի իմ է ի տագնապի: Թէպէտ ունէի խնդիրս ընդ առաջնորդութիւն քո, բայց գտի խաղաղութիւն ի բանակի քում: Թոյլ տա՞ս ինձ դարձեալ ծառայել քեզ:
str_npc7_rehire_speech|Առաջնո՛րդ! Բարի է տեսանել զքեզ... Ներեա՛ զբանս զորս ասացի ի մեկնելն իմ: Մեկնեցայ ի Վերչեգէ նաւաւ, որ երթայր յարեւելս, բայց ըմբռնեցաք ի ծովահենաց: Յետ վճարելոյ զփրկագինն՝ բերին զիս դարձեալ աստ: Թերեւս գոյն լաւագոյն տեղիք ի աշխարհի քան զԿալրադիա, բայց ես չեւ տեսի: Եթէ բախտ իմ է բնակել աստ՝ յարմար է ինձ լինել ի բանակի քում: Ընդունի՞ս զիս դարձեալ:
str_npc8_rehire_speech|Ողջո՜յն քեզ, {playername}: Հարցանեմ եթէ մոռացա՞ր զկոպիտ խօսս մեր: Շրջէի ի մէջ Նորդից զի ժողովեցից բաւական արս առնուլ զատեան ամուսնոյ իմոյ: Բայց ոչ գտի բաւական արս նոյնիսկ վասն միոյ նաւի: Որք ժողովեցան՝ վաղվաղակի ձանձրացան եւ թողին զիս - յետ վատնելոյ զամենայն արծաթ իմ վասն հաճոյից իւրեանց: Յայնժամ յիշեցի զհին օրս պատերազմի մերոյ: Նոքա էին բարի եւ շահաւէտ օրք:
str_npc9_rehire_speech|Պատուակա՛ն {տէր/տիկին}! Բարի է տեսանել զքեզ! Փորձեցի ծառայել լորդաց այսր աշխարհի, բայց յոյժ յուսախաբ եղի: Կէսք նոցա կամէին զի երթայց խնդրել զպարտս այլոց լորդաց որպէս թէ էի ես սպասաւոր հաշուապահի, կամ շրջայց ի հողս նոցա որպէս գեւղապետ: Մինն նոյնիսկ խնդրեաց սպանանել զպարտատէր իւր! Արդ սկսայ խնդրել զքեզ, թերեւս ընկալցիս զիս դարձեալ ի բանակ քո:
str_npc10_rehire_speech|Առաջնո՛րդ! Բարի է տեսանել զքեզ: Պարզ եղեւ զի ոչ եմ ես բարի մշակ: Յոյժ մտերիմ եղի ընդ մշակս: Նոքա եւս կողոպտեցին զիս: Կարծեմ թէ պատերազմն է բնական արուեստ իմ: Ասա՛, դեռ պէ՞տք են քեզ արք:
str_npc11_rehire_speech|Հրամանատա՛ր! Բարի է տեսանել զքեզ! Ասեն թէ բազում արծաթ վաստակեցար: Պարտ է խոստովանել զի եմ ես ծերուկ անհանգիստ: Մեկնեցայ ի քէն զի ոչ սիրէի զպատերազմող կեանք, բայց յետ սակաւ ժամանակի ի քաղաքի՝ զգացի զի գոյն բազում ձանձրալի ինչ քան զլի որովայնն, զբարի ընկերս եւ զտեսանելն զթշնամին փախստական: Արդ, ընդունի՞ս զիս դարձեալ:
str_npc12_rehire_speech|Առաջնո՛րդ! Բարի է տեսանել զքեզ եւ զարդար դէմս քո! Աշխարհ լի է ստութեամբ! Դարձայ ի տուն զի հրատարակեցից զգիւտս իմ, կարգեցի դպիրս եւ սպասեցի: Բայց պարզ եղեւ զի համալսարանբք նախընտրեն զհին գիտութիւնս Գաղենիանոսի քան զնոր բժշկութիւն: Ոչ տեսի զոք անխիղճ որպէս զհրատարակիչս: Վարձեն զգիրս իմ ուսանողաց զի արտագրեսցեն զնոսա, բայց կէսք թերթոցն ոչ դառնան: Որք դառնան՝ լինին թացեալք ի գինւոյ, եւ այսպէս ոչ կարեմ գտանել զօրինակ մի գրոց իմոց: Շարունակեցից զջանս իմ, բայց պէտք են ինձ արծաթ: Խնդրե՞ս վիրաբոյժ:
str_npc13_rehire_speech|Ողջո՜յն, քաջդ! Յուսայի տեսանել զքեզ դարձեալ: Ուր եւ երթամ՝ լսեմ զպատմութիւնս եւ զերգս գործոց քոց: Խոստովանիմ զի զղջամ զի մեկնեցայ ի քէն: Եւ սակաւ մի նախանձիմ վասն յաջողութեանց քոց: Խորհեցայ թէ թերեւս դարձեալ հեծցուք միասին սակաւ մի ժամանակ, զի՞նչ ասես:
str_npc14_rehire_speech|Հրամանատա՛ր, բարի է տեսանել զքեզ դարձեալ: Յորժամ մեկնեցայ՝ երդնուի թէ ոչ դարձայց ծառայել քեզ, բայց թերեւս խիստ վարեցայ ընդ քեզ: Ի բովանդակ Կալրադիա մարդիկ օրհնեն զանուն քո: Փորձեցի ծառայել այլոց լորդաց, բայց հաւատա՛ ինձ, տեսեալ զնոսա՝ յարգութիւն իմ առ քեզ աճեաց: Եթէ ընկալցիս զիս դարձեալ՝ պատերազմեցայց վասն քո:
str_npc15_rehire_speech|Ողջո՜յն, {playername}: Ոչ կարեմ ասել թէ ոչ եմ ուրախ տեսանել զքեզ: Յառաջ քան զմեկնելն իմ՝ ընկալայ այլ գործ, բայց յորժամ եկն ժամանակ վճարման՝ լորդն ոչինչ արար բաց ի յօրինելոյ զպատճառս եւ անարգելոյ զգործս իմ: Ոչ եմ միշտ երջանիկ ի բանակի քում, բայց գոնէ յետ պատերազմի քսակ իմ տեսանէր զոսկի: Դեռ ունի՞ս գործ վասն իմ:
str_npc16_rehire_speech|Առաջնո՛րդ! Ասեն թէ յոյժ հարստացար ի վերջին ժամանակի: Խոստովանիմ զի անիծէի զանուն քո ի մեկնելն իմ, բայց արդ խորհիմ զի ոչ էիր այնպէս վատ: Այլ լորդք կամին զի լիցիմ ես սպասաւոր նոցա, բայց ոչ կամին զի պատերազմեցայց ի շարս նոցա: Թուի թէ երկնչին ի յինէն: Լուայ թէ ոմանք ասեն թէ եմ ես վհուկ, կամ թէ ուտեմ զսիրտս արանց զորս սպանանեմ: Չունիմ խնդիր ընդ հատանելոյ զկոկորդ քնացելոյ առն, բայց պատերազմելն ընդ արթուն թշնամւոյ է առաւել հաճոյ: Արդ խորհեցայ գտանել զքեզ դարձեալ: Ընդունի՞ս զիս:
str_npc1_home_intro|Առաջնո՛րդ, գիտէի՞ր թէ ծնեալ եմ ես յայս բարձր տափաստանս: Աստ ուսայ զվարժութիւն ձիոց, զի թէպէտ դժուար է մարդկան՝ բայց բարի է ձիոց: Կարծեմ թէ վասն այսր Խերգիթք յոյժ սիրեն զայս տեղի:
str_npc2_home_intro|Մերձ եմք ի Սարգոթ: Յորժամ Խերգիթք յարձակեցան ի վերայ իմ՝ ջանայի հասանել անդ:
str_npc3_home_intro|Զգա՞ս զայս հոտ: Կիտրոնենիք, խնձորենիք եւ քրքում: Այս է բոյրն Վելուկոյ! Յորժամ էի ես մանուկ՝ անցուցի բազում երջանիկ ամառս ի պարտէզս տան մօր իմոյ:
str_npc4_home_intro|Անտառքն Եհլերդահ! Բրե՜հ!! Օդն աստ ծանրացեալ է վասն աւազակաց եւ անօրինաց:
str_npc5_home_intro|Բահադու՛ր, մերձ եմք ի Հալմար: Է մեծագոյն քաղաք ստորին տափաստանաց: Մօրաքոյր իմ ամուսնացեալ էր ընդ առն միոյ անտի, եւ ես կամէի մտանել ի ծառայութիւն լորդին... Յայնժամ հանդիպեցայ քեզ:
str_npc6_home_intro|Զգամ զի դառնամ ի տուն ըստ այգեաց եւ որթոց: Ոչ կամիմ տեսանել զընտանիք իմ, արդ եթէ մտանես ի քաղաք՝ ես սպասեցից արտաքոյ պարսպացն: Յուսամ զի հասկանաս զիս:
str_npc7_home_intro|Զգա՞ս զայս հոտ: Աղի ձուկն, փտեալ մամուռ եւ տիղմ գետոյ: Հոտ մանկութեան իմոյ: Կամիմ փսխել!
str_npc8_home_intro|Հմֆ: Լուա՞ր զայս: Ձայն բախման ալեաց ի ժայռս: Մերձ եմք ի Գունդիգս Փոյնթ!
str_npc9_home_intro|Հասաք ի Ժայռն Ռիվաչեգայ! Է հզօրագոյն բերդն ի Կալրադիա: Հայր իմ էր մի ի պաշտպանացն յորժամ Նորդք յարձակեցան ի ծովէ:
str_npc10_home_intro|Զգա՞ս զայս զով օդ, եղբա՛յր: Աստ էր տուն իմ յառաջ քան զվաճառականութիւն: Բարի է լինել դարձեալ յայս բլուրս: Այս է հոտն ազատութեան: Այս է բարձունք Ռոդոկաց հպարտութեան: Աստ, ընդ բերդաւն Գրունվալդերայ:
str_npc11_home_intro|Տեսանեմ զլերինս, մերձ եմք ի տուն!
str_npc12_home_intro|Անցանեմք ընդ տեղի միոյ ի մեծագոյն բժշկական յաղթանակաց, եթէ կամիս լսել:
str_npc13_home_intro|Ահ, Բերդն Էրգելլոն! Ի ծովափն խորին լճին, գեղեցիկ անկիւն: Անցուցի անդ բազում բարի օրս յամառն անցեալ:
str_npc14_home_intro|Տեսանե՞ս զայդ բերդ ի գլուխ ժայռից: Իսմիրալա՛ն է: Սակաւ մի ամաց յառաջ անցուցի անդ զձմեռն բովանդակ կրթելով զարս լորդին:
str_npc15_home_intro|Տեսանե՞ս զայդ բերդ ի բարձունս: Կոչեն զնա Բերդն Կուլմարր: Յառաջագոյն գործեցի անդ: Թէպէտ ոչ թուի այնպէս շքեղ որպէս այլք, բայց անդ տեսցես զլաւագոյն քարագործութիւն յաշխարհի:
str_npc16_home_intro|Հրամանատա՛ր! Տեսանե՞ս զայդոսիկ: Հետք ճագարաց ի վերայ ձեան! Պարտ է լինել մեզ յոյժ մերձ ի տեղի ծննդեան իմոյ:
str_npc1_home_description|Խերգիթք բնակեալ են աստ յառաջնոյ ժամանակաց: Կայսրն ետ նոցա արծաթ եւ հող զի պահեսցեն զսահմանս յայլոց ազգաց: Ասէին թէ հաւ իմ էր առաջնորդ ցեղի Խերգիթաց, բայց ես ոչ ճանաչէի զհայր իմ, եւ մայր իմ ոչ առաւել ճանաչէր զհաւն: Յորժամ մայր իմ էր մանուկ՝ Խերգիթք սկսան գալ յայնկոյս լերանց: Արդ ի Տուլգա է Խաղան Խերգիթաց:
str_npc2_home_description|Մարդիկ ասեն թէ Նորդք են արիւնարբու բարբարոսք, բայց ըստ իս՝ բարի վարեն զվաճառականութիւն: Տան մշակել զքթան ի ծովափնեայս, եւ ապա նոքա գործեն զայն: Թէպէտ որպէս շքեղ կերպաս ոչ կարէ մրցել ընդ դիպակին Յելկալայ, բայց է բարի զգեստ վասն ամարան, եւ կարես գործածել զայն վասն առագաստից նաւուց... Առաւել կարեւոր է զի յառաջ քան զնոսա ոչ ոք ի Կալրադիա գիտէր զգործելն քթանեայ:
str_npc3_home_description|Ի Վելուկա ձմեռն է թաց եւ ամառն՝ տապ: Մարդիկ շինեցին անդ մեծ ջրամբարս վասն ոռոգելոյ զանդս: Մշակեն զխաղող: Գինին Վելուկոյ է հռչակաւոր, {տէր/տիկին}: Որք ունին արծաթ՝ բնակին ի պարտէզս պարսպապատս, եւ ի գիշերի խաղան զճատրակ ընդ նուագս քաղցրս:
str_npc4_home_description|Թագաւորն Սուադիոյ յայտարարեաց զայս տեղի որսատեղի իւր, եւ հրամայեաց կախել զայն որ առնու զաղեղ ի ձեռն: Եւ զի՞նչ եղեւ յետոյ: Ընտանիք մի սովալլուկ ոչ կարաց հանդուրժել եւ կերակրեցաւ անտի: Պահապանն տես զնոսա, եւ հայրն կախեցաւ, իսկ հողն յափշտակեցաւ: Որդիքն փոխանակ սովամահ լինելոյ՝ ընտրեցին լինել աւազակք: Արդ բնականաբար ամենայն պարտապան, զրկեալ, խաբեալ եւ տառապեալ մարդիկ գան եւ յարին ի նոսա:
str_npc5_home_description|Խերգիթք հանապազ գային աստ որսալ, վաճառել եւ աւար առնուլ, բայց ի վերջին ժամանակս կայսրութեան ընտրեցին բնակել աստ: Որպէս Վայեգիրք, Սուադիացիք, Ռոդոկք, Նորդք եւ Սարրանեանք՝ մեք եւս ընկալաք ռոճիկ ի կայսրէ զի պահեսցուք զսահմանս յայլոց ազգաց: Բայց ի ժամանակի հաւու իմոյ՝ յորժամ Մեծ Խումբն յարձակեցաւ՝ եկաք յայս կողմն բռնութեամբ: Ստիպեցաք զՎայեգիրս նահանջել եւ առաք զբերդս նոցա:
str_npc6_home_description|Ի հովիտն Սունոյ բարբառ մեր եւ սովորութիւնք մեր առաւել մերձ են հին Կայսրութեան Կալրադիոյ քան զայլ ազգաց: Մշակեմք զձիթենիս եւ զխաղող, զորս հին կայսերքն բերին յաշխարհաց հեռաւորաց: Նաեւ պահեմք զբարոյականութիւն հին Կալրադացւոց: Հաստատուն կամք ի բանս մեր եւ վճարեմք զպարտս մեր:
str_npc7_home_description|Յառաջ քան զամուսնութիւն իմ, եւ յառաջ քան զըմբռնիլն իմ ի յաւազակաց՝ բնակէի աստ: Ծնայ ի խրճիթի եւ բովանդակ մանկութիւն իմ անցի յանդս: Տեարք հողոյն էին Նորդք, բայց երբեք ոչ տեսաք զնոսա: Միայն զարս նոցա եւ զանիծեալ տեսուչսն տեսանէաք: Իսկ վատ հայր իմ կորանայր առաջի նոցա:
str_npc8_home_description|Ո՞չ լուար զպատմութիւնն: Յորժամ Գունդիգ Մազոտ-Վարտիքն եկն ի Նորդլանդէ ի Կալրադիա՝ հար զդրօշ իւր ի ծովափն եւ ասաց թէ դրօշն մնասցէ անդ մինչեւ առցէ զժառանգութիւն իւր: «Ժառանգութիւնն իմ» ասաց: Գունդիգ հաւատայր զրոյցից թէ կայսրն ետ զԿալրադիա Նորդից, մինչդեռ կայսրն թողեալ էր նոցա միայն սակաւ ինչ ծովափնեայս զի լիցին նաւաստիք նաւուց իւրոց:
str_npc9_home_description|Նորդք նաւարկէին երկայն նաւաւք ի վեր ընդ գետն: Քաղաքքն ծովափնեայք կարէին արգելուլ զնոսա, բայց էին վատք որպէս եւ այժմ, եւ վճարէին զհարկ տարեկան զոր կոչեն Նորդգելդ զի թողցեն զնոսա հանգիստ.. Բայց թագաւորն Վայեգիրաց հրաժարեցաւ վճարել: Հայր իմ ելի լերանց պատերազմել ընդ Վայեգիրս: Երեք ամառս յաջորդական ջանացին առնուլ զԺայռն, բայց լորդք Վայեգիրաց յամենայն նուագի վանեցին զնոսա:
str_npc10_home_description|Ի ժամանակի հօր իմոյ՝ Սուադիացիք գային զօրութեամբ, խորհելով թէ երկրպագութեամբ ընկալցուք զտեարս նոցա: Բայց Գրունվալդեր՝ հին պատերազմողն որ եկն ի բլրոց՝ ուսոյց մեզ զիարդ նիզակաւք եւ աղեղնաւք կարեմք կազմել զշարս հզօրս զի արգելցուք զյարձակումն Սուադիացւոց: Թէպէտ նա անկաւ ի պատերազմի, բայց զի անուն նորա միշտ յիշեսցի եւ զի անվեհեր կացցուք առաջի այրուձիոյ՝ բերդն շինեալ ի տեղւոջ մահուան նորա կոչեցաւ յանուն նորա:
str_npc11_home_description|Ես եմ ի Պրաւենէ: Գիտե՞ս զի՞նչ ասեն, {տէր/տիկին} - «Գարին բուսեալ յՈւքսխալ լինի գարեջուր ի Պրաւեն, եւ մեք եմք լաւագոյնք քան զայն»: Ոչ գիտեմ ստոյգ թէ զի՞նչ է այդ, {տէր/տիկին}, բայց մասն գարւոյ եւ ալիւրոյ է ճշմարիտ: Աստ ի հովիտն Ուքսխալի մշակեմք առաւել գարի քան յամենայն Կալրադիա, եւ գարեջուր մեր է լաւագոյն: Կարես տեսանել զայս ի հողի - է ճոխ եւ սեաւ, հոտն է որպէս բարի բերք եւ լի որովայն!
