dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_lord_talk:lord_recruit_1_relation.1|Ես կամէի ընդ ձեզ ինչ-որ բան խորհրդակցել: Առանձինն:
dlga_lord_talk:lord_recruit_1_relation.2|Ես կամէի խօսել ինչ-որ իրի վասն ընդ ձեզ առանձինն:
dlga_lord_talk:lord_talk|Cheat - Հեռացուցանել զանհանդուրժողութիւն ազատաց առ խարդաւանս:
dlga_lord_talk:lord_respond_to_insult_challenge_duel|Cheat - Հանդիպեսցուք ի մենամարտի!
dlga_lord_respond_to_insult:lord_pretalk|Հա՛! Ինձ հաճոյ են սրամիտ լեզուք: Թերեւս, միում նուագ ես հատից զձեր լեզու եւ հիացայց նովաւ առանց աւելորդ հոգոց... Բայց այսօր ես ոչ կարեմ ոչ յարգել զձեր քաջութիւն:
dlga_lord_respond_to_insult:lord_pretalk.1|Տիկի՛ն, մի՛ պահէք ոխ ընդդէմ իմ:
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_battle|Ջանայք գրգռե՞լ զիս? Գիտացէ՛ք՝ ես ոչ ունիմ սովորութիւն մարտնչելոյ ընդ կանայս, ընդ ռամիկս, ընդ խռովարարս եւ ընդ մոլեալս: Փոխանակ այնր ես կարեմ հրամայել իմոց ծառայից առնուլ եւ գանակոծել զձեզ: Կամի՞ք:
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_duel|Ջանայք գրգռե՞լ զիս? Գիտացէ՛ք՝ ես ոչ ունիմ սովորութիւն մարտնչելոյ ընդ կանայս, ընդ ռամիկս, ընդ խռովարարս եւ ընդ մոլեալս: Սակայն, ձեր դէպքն կարէ լինել բացառութիւն: Դէ, անտանելի մանուկ, պատրա՞ստ էք ընդունել զարժանի պատիժ?
dlga_lord_respond_to_insult:close_window|Ջանայք գրգռե՞լ զիս? Գիտացէ՛ք՝ ես ոչ ունիմ սովորութիւն մարտնչելոյ ընդ կանայս, ընդ ռամիկս, ընդ խռովարարս եւ ընդ մոլեալս: Արդ ես եմ ի բարւոք տրամադրութեան, վասն որոյ ոչ հրամայեցից գանակոծել զձեզ: Բայց դուք ձանձրացուցէք զիս, երթայք ի բաց!
dlga_lord_respond_to_insult_challenge_battle:lord_respond_to_insult_challenge_battle_confirm|Կամէի տեսանել, թէ զի՞նչ ելցէ այսմէ:
dlga_lord_respond_to_insult_challenge_battle:close_window|Գործն ոչ արժէ արիւնահեղութեան:
dlga_lord_respond_to_insult_challenge_battle_confirm:close_window|Իմ համբերութիւնն սպառեցաւ! Կալարո՛ւք {reg59?զնա:զնա}, մանկունք!
dlga_lord_respond_to_insult_challenge_duel:lord_respond_to_insult_challenge_duel_confirm|Արդ ես տաց ձեզ դաս:
dlga_lord_respond_to_insult_challenge_duel:close_window|Գործն ոչ արժէ արիւնահեղութեան:
dlga_lord_respond_to_insult_challenge_duel_confirm:close_window|Այդպէս լիցի! Պաշտպանեցարո՛ւք!
dlga_lord_quarrel_intervention_1:lord_quarrel_intervention_2|{s14}
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3a|Դէ բարի: Թուի, թէ դուք իրաւացի էք:
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b|Որպիսի եւ լիցին ձեր տարաձայնութիւնք, ես այլեւս ոչ կամիմ լսել զնոցանէ:
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b.1|Մի՞թէ անհնար է համոզել զձեզ հարթել զձեր տարաձայնութիւնս?
dlga_lord_quarrel_intervention_2:lord_pretalk|Եթէ խորհեցայց, ապա ես ոչ պատրաստիմ միջամտել:
dlga_lord_quarrel_intervention_3a:lord_pretalk|Մխիթարական է, զի դուք այդպէս խորհիք:
dlga_lord_quarrel_intervention_3b:lord_quarrel_intervention_4|Վասն մերոյ բարեկամութեան ես համամիտ լիցիմ ընդ ձեզ եւ ջանացայց հաշտիլ ընդ {s11}.
dlga_lord_quarrel_intervention_3b:lord_pretalk|{s11} մնասցէ իմ թշնամի: Ես եմ յիմում իրաւունքի:
dlga_lord_quarrel_intervention_4:lord_pretalk|Համարեսցուք, զի այս վէճ երբեք ոչ լեալ է:
dlga_lord_quarrel_intervention_4:lord_pretalk.1|Կարծեմ, զի ձեզ պարտ է խօսիլ ընդ {s11} եւ գիտել, թէ արասցէ՞ նա նոյնն վասն իմ:
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response|Ես արդէն որոշեցի զաւրակից լինել ձեզ:
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.1|Ես ոչ կարեմ արդ որոշել:
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.2|Ես արդէն որոշեցի զաւրակից լինել {s15}. {s10}
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_choose_candidate|Թոյլ տո՛ւք ինձ ասել, թէ ո՞ւմ ես զաւրավիգն լինիմ...
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_cur_stance_plyr_response|Cheat - Զաւրակցութիւնն մերժեալ է
dlga_lord_internal_politics_plyr_choose_candidate:lord_internal_politics_plyr_choose_candidate_select|Ո՞ւմ դուք զաւրավիգն լինիք?
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk|Ես նախընտրեմ անուանել զիս:
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.1|Կարծեմ ամուսին իմ {s4}, ես հանապազ վասն նորա եմ:
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_acknowledge|Ես զաւրավիգն լինիմ ձեզ, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_same_acknowledge|Թերեւս, ես համամիտ լիցիմ ընդ ձեզ, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_pretalk|Ոչինչ:
dlga_lord_internal_politics_support_acknowledge:lord_pretalk|Դուք յոյժ վեհանձն էք, բայց ինձ պիտոյ ոչ է այս: Ես պարտիմ հրաժարիլ ի ձերոյ զաւրակցութենէ:
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.1|Ես ոչ հաւատամ ձեզ, եւ զաւրակցութիւն ձեր ինձ պիտոյ ոչ է: Լինել ձեզ պարտական – է յոյժ ծանր եւ վտանգաւոր:
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.2|Դուք յոյժ վեհանձն էք:
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk|Ասացէ՛ք նմա զայդ ինքնին: Ես ոչ հաւատամ ձեզ եւ ոչ կամիմ մասնակցիլ ի ձերում խաղս:
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.1|Նկատի ունելով ձեր յարաբերութիւնս ընդ {s4}, ոչ խորհիմ, թէ նա լիցի ուրախ վասն ձերոյ զաւրակցութեան:
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.2|Ես պատմեցից զայս {s4}. Անշուշտ, նա լիցի երախտապարտ ձեզ վասն զաւրակցութեան:
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.2|Զօժանդակութիւն իմ ընկալցի {s4}:
dlga_lord_internal_politics_pretalk:lord_internal_politics_cur_stance_plyr_response|Այո՛: Յոյժ հետաքրքրական է:
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_request_support|Կարե՞մ ես փոխանակ այնր խնդրել ձեզ զաւրավիգն լինել ինձ?
dlga_lord_internal_politics_cur_stance_plyr_response:lord_pretalk|Սակայն, առ այժմ բաւական է քաղաքականութիւն:
dlga_lord_internal_politics_plyr_request_support:lord_pretalk|Դուք էք աղբիւր տարաձայնութեանց, վասն որոյ արդ ոչ կարէք համարիլ արժանի ընտրելի: Խրատեմ ձեզ փոքր ինչ սպասել, յառաջ քան որոնել յաւելեալ պատիւս:
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.1|Ներեցէ՛ք: Ես ոչ կամիմ սրել զիմ յարաբերութիւնս ընդ {s4}
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.2|Ես ասացից, թէ դուք արդէն իսկ պարգեւատրեալ էք կալուածով ըստ ձերոց վաստակոց:
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.3|Ինձ թուի, ձեզ պարտ է տակաւին ցուցանել զձեզ, յառաջ քան յաւակնիլ յայսպիսի պաշտաւն:
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.4|Հըմ... Դուք խնդրէք յոյժ բազում ինչ, նկատի ունելով մեր յարաբերութիւնս:
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.5|Ես հաճութեամբ զաւրավիգն լիցիմ ձեզ:
dlga_lord_recruit_1_relation:lord_pretalk|Ես ոչ յոյժ սիրեմ զբանս վասն քաղաքականութեան: Թերեւս, յայլում նուագի:
dlga_lord_recruit_1_relation:lord_pretalk.1|{s12}
dlga_lord_recruit_1_relation:lord_recruit_pretender|Դուք յարուցէք խռովութիւն ի փառս {s16}, իսկ արդ պատրաստիք խնդրել վասն {reg3?նորա:նորա}?
dlga_lord_recruit_pretender:lord_recruit_3_dilemma_1|Այդպէս է իսկ:
dlga_lord_recruit_pretender:lord_recruit_1_relation|Ոչ է այդպէս: Ես աստ ոչ եմ վասն այսորիկ:
dlga_lord_recruit_1_relation:lord_pretalk.2|{s12}
dlga_lord_recruit_1_relation:lord_recruit_2|{s12}
dlga_lord_recruit_2:lord_recruit_2_philosophy|Իսկ զի՞նչ դուք ընդհանրապէս խորհիք վասն իշխողաց, ազատաց եւ քաղաքականութեան?
dlga_lord_recruit_2:lord_spouse_leave_faction|Ամուսի՛ն իմ, ես խորհիմ, թէ ձեզ պարտ է վերատեսանել զձեր վերաբերմունք առ {s11}.
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2|Ես ոչ տեսի ի {s9} ոչինչ, բացի ի բարութենէ եւ յարդարութենէ, սակայն ես լուից ձեզ: Զի՞նչ դուք առաջարկէք?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.1|Ես ոչ տեսանեմ պատճառս թողլոյ զ{s9}, բայց ես կամիմ լսել, թէ զի՞նչ դուք առաջարկէք:
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.2|Այո՛: Մնալ ընդ իշխանութեամբ {s9} յոյժ դժուարին է: Արդ զի՞նչ դուք առաջարկէք?
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_husband_king|Ամուսի՛ն իմ, ես խորհիմ, զի հէնց դուք պարտիք լինել իշխող!
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_proclaim_queen|Ես եմ օրինաւոր Թագուհի հիւսիսային հողոց:
dlga_lord_spouse_leave_faction_2:lord_pretalk|Ոչինչ:
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk|Թերեւս, կի՛ն իմ, միում նուագ այդպէս եւ պատահեսցի, բայց յառաջ քան յայտարարել զիս իշխող, կամէի, զի ոք ի մենջ ունէր զամրոց, որ կարող էր լինել մեր դահլիճ:
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk|Ես ոչ եմ ընդդէմ ձերոց յաւակնութեանց, կի՛ն իմ, բայց կամէի, զի մեք ունէաք զամրոց, որ կարող էր լինել մեր դահլիճ յառաջ քան զծանուցանել մերոց մտադրութեանց:
dlga_lord_spouse_leave_faction_proclaim_queen:lord_spouse_leave_faction_proclaim_queen_confirm|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk.1|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:close_window|Ամուսի՛ն իմ, ես պատրաստ եմ մտանել ի շաւիղն, տանող առ գահն:
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:lord_pretalk|Թերեւս, ես տակաւին ոչ եմ պատրաստ:
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk.1|Թերեւս, բայց վասն այսպիսի յաւակնութեանց ինձ պիտոյ է ամենայն ձեր զաւրակցութիւնն: Սակայն, նախ հարթեցէ՛ք զխռովութիւնն {s4}, իսկ յետոյ խորհեսցուք վասն մերոց յապագայ ծրագրաց:
dlga_lord_spouse_leave_faction_husband_king:lord_spouse_leave_faction_husband_king_2|Յայսոսիկ հողս մեծագոյն մասն ազատ տոհմից այսպէս թէ այնպէս կարեն ներկայացուցանել իրաւունքս ի վերայ գահին... Նկատի ունելով, թէ որպէ՞ս փոխանցի իշխանութիւնն ի վերջին ժամանակս, ես ոչ պակաս իրաւունքս ունիմ կոչիլ զիս իշխող, քան զ{s4}.
dlga_lord_spouse_leave_faction_husband_king_2:lord_spouse_leave_faction_husband_king_3|Որպէս իշխող ես հաշուի առից զձեր կարծիս, ընտրելով զխորհրդականս, վարելով զարտաքին քաղաքականութիւն եւ յամենայն այլ գործս պետութեան:
dlga_lord_spouse_leave_faction_husband_king_3:close_window|Սքանչելի է, ամուսի՛ն իմ: Արդ է յարմար ժամանակ ծանուցանելոյ զձեր իրաւունքս ի վերայ գահին:
dlga_lord_spouse_leave_faction_husband_king_3:lord_pretalk|Իրականում լաւագոյն է փոքր ինչ սպասել:
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} Կամի՞ք խօսել ինչ-որ այլ իրի վասն?
dlga_lord_recruit_2:lord_recruit_2_discontent|Զի՞նչ դուք խորհիք վասն {s15}?
dlga_lord_recruit_2:lord_recruit_3_a|Յիշէ՞ք, թէ զինչ մեք ընդ ձեզ խօսէաք?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|Շրջին համբաւք, թէ դուք ընդհարեցայք ընդ {s16}.
dlga_lord_recruit_quarrel_describe:lord_recruit_2|Այդ ոչ է գաղտնիք: {s14}
dlga_lord_recruit_2:lord_pretalk|Ոչինչ:
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|Երբեմն ես տագնապիմ վասն կացութեան իրաց յայսմ երկրի:
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|Թերեւս, դուք կարասջիք պատմել զորոշ մանրամասնութիւնս?
dlga_lord_recruit_hesitant:lord_pretalk|Այո՛, բարի:
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|Եթէ արդէն խօսք եղեւ վասն այսորիկ, պարտ է խոստովանիլ, զիս նոյնպէս երբեմն տագնապէ կացութիւն իրաց ի մերում տէրութեան:
dlga_lord_recruit_hesitant_persuade:lord_pretalk|Դուք փորձէք զիմ համբերութիւն: Ասացեալ է արդէն, զի ես ոչինչ ունիմ յաւելուլ:
dlga_lord_recruit_3:lord_recruit_3_a|Դէ ինչ, ես ունիմ ինչ-որ բան ձեզ ասելոյ:
dlga_lord_recruit_3:lord_pretalk|Հըմ, հետաքրքրական է: Սակայն, բաւական է խօսել քաղաքականութեան վասն:
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|Այո՛, ճշմարիտ այդպէս է:
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|Թոյլ տո՛ւք ինձ արտայայտուիլ փոքր ինչ առաւել ստոյգ:
dlga_lord_recruit_3_a:lord_recruit_3_b|Այո՞:
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|Այո՞:
dlga_lord_recruit_3_b:lord_recruit_3_why|Ես կամիմ լինել իշխող հիւսիսային հողոց եւ խնդրեմ ձեզ աւգնել ինձ յայսմ:
dlga_lord_recruit_3_b:lord_recruit_3_why.1|Թոյլ տո՛ւք մատուցանել զիմ յարգանս {s45}, տիրակալի ամենայն հիւսիսոյ:
dlga_lord_recruit_3_b:lord_pretalk|Մոռացարո՛ւք:
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|Ոչ ոք ի մենջ ոչ է այնչափ հզաւր, որչափ մի ամրոց ընդ մերում անուամբ: Թէ՞ դուք կամիք, զի ձեր պետութիւնն կառավարեսցի յորջէ յանցագործաց ի մէջ անտառի?
dlga_lord_recruit_3_why:lord_recruit_3_d|Ընդէ՞ր պարտիմ ես զաւրակից լինել ձեզ? {s44}
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|Եթէ {s45} լեալ էր {s47}, ապա {s45} դատէր զամենայն մարդիկ ըստ արդարութեան եւ յարգէր զիրաւունքս ռամիկ մարդկան:
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|Եթէ {s45} լեալ էր {s47}, ապա {s45} յարգէր զհնամենի իրաւունքս ազատաց այսոցիկ հողոց:
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|Քանզի {s45} կարեմ միաւորել զհիւսիսն եւ վերջ տալ երկպառակութեանց:
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|Քանզի {s45} պարգեւատրեցից զձեզ կալուածովք:
dlga_lord_recruit_3_d:lord_pretalk|Մոռացարո՛ւք:
dlga_lord_recruit_3_claim:lord_recruit_3_claim|Թերեւս, դուք ասասջիք ամենեցուն շուրջն զայն, զոր նոքա, ըստ ձերում կարծեաց, կամին լսել առաւելագոյնս? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|Ես խնդրեմ ձեզ տալ զերդումն հաւատարմութեան ինձ! {s16}
dlga_lord_recruit_4:lord_pretalk|Մոռացարո՛ւք:
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|Թոյլ տո՛ւք խորհել...
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|Ժամ է ընկալնուլ զորոշումն:
dlga_lord_recruit_6:lord_pretalk|Պարտ ոչ է որոշել ուղղակի արդ, մեք կարեմք դառնալ առ այս բանս յետոյ:
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|Բարի...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|Լիցի ըստ ձերում կամաց!^^Ես երդնուց հաւատարմութիւն {s4}/ձեզ որպէս {reg4?Թագուհւոյ:Թագաւորի}:
dlga_lord_recruit_pledge:lord_recruit_pledge|Յիշեցէ՛ք, դուք խոստացայք ինձ կալուածս:^^Ես ոչ մոռացայց զայդ:
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|Այդպէս լիցի!^^Ես մատուցանեմ ձեզ զերդումն հաւատարմութեան որպէս անձնուէր հպատակ:^Մարտնչեցայց ընդ ձերոց թշնամեաց անդ, ուր պիտոյ լիցի իմ սուր:^Կացից վասն ձերոց յաւակնութեանց եւ զաւրավիգն լիցիմ ձերոց օրինաւոր ժառանգորդաց:^^Փոխանակ այնր ես ակնկալեմ պաշտպանութիւն եւ ճանաչումն իմոց իրաւանց:
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|Այդպէս լիցի!^^Կարէք ծանուցանել {s4}, զի ես մատուցանեմ {reg4?նմա:նմա} զերդումն հաւատարմութեան:^Ես մարտնչեցայց ընդ {reg4?նորա:նորա} թշնամեաց անդ, ուր պիտոյ լիցի իմ սուր եւ իմ մարդիկ:^Ես կացից վասն {reg4?նորա:նորա} յաւակնութեանց եւ զաւրավիգն լիցիմ օրինաւոր ժառանգորդաց:^^Փոխանակ այնր ես ակնկալեմ պաշտպանութիւն եւ ճանաչումն իմոց իրաւանց:
dlga_lord_recruit_pledge_conclude:close_window|Այս է յոյժ կարեւոր որոշումն...^Արդ ինձ պարտ է մեկնել: Վասն պատրաստութեան առ գալոց փոփոխութիւնս պիտոյ լիցի որոշ ժամանակ:
dlga_lord_start:close_window.3|{reg4?Իմ:Իմ} {s11}, {s10}, {reg4?առաքեաց:առաքեաց} ինձ պարգեւ, զոր դուք մատուցէք ձեռամբ {reg4?նորա:նորա}: Այս էր ազնուական քայլ, {տէ՛ր/տիկի՛ն}: Զղջամ զի վիճեցաք ընդ միմեանս:
dlga_lord_start:close_window.4|{reg4?Իմ:Իմ} {s11}, {s10}, {reg4?առաքեաց:առաքեաց} ինձ պարգեւ, զոր դուք մատուցէք ձեռամբ {reg4?նորա:նորա}: Վասն {reg4?նորա:նորա} բարւոյն ես յօժարեցայց մոռանալ զհին թշնամութիւնս:
dlga_lord_start:close_window.5|{reg4?Իմ:Իմ} {s11}, {s10}, {reg4?առաքեաց:առաքեաց} ինձ պարգեւ, զոր դուք մատուցէք ձեռամբ {reg4?նորա:նորա}: Հա՛! Միթէ արդարեւ կարծէք, թէ զհաճութիւն իմ մարթ է գնել:
dlga_lord_start:close_window.6|{reg4?Իմ:Իմ} {s11}, {s10}, {reg4?առաքեաց:առաքեաց} ինձ պարգեւ, զոր դուք մատուցէք ձեռամբ {reg4?նորա:նորա}: Բարի է նա, բայց ոչ կարեմ ներել զհին վիրաւորանս:
dlga_lord_talk:denounce_lord_results|{s4} ընկալաւ զամբաստանութիւնս, որպէս դուք եւ կամէիք:
dlga_denounce_lord_results:lord_pretalk|Այո՛: Յուսամ, զի արդ {s4} երկիցս խորհեսցի, յառաջ քան շնորհել զկալուածս, զտիտղոսս եւ զպատիւս այսմ օձի: Մեք երախտապարտ եմք ձեզ:
dlga_denounce_lord_results:close_window|Յոժարակամ հաւատամ ձեզ: Իսկ մեք լուաք, զի նա ստիպեաց ձեզ յետս կոչել զձեր բանս, եւ արդ երեւի առաւել վստահ, քան յառաջագոյն: Ներեցէ՛ք ինձ, {reg59?տիկին:տէ՛ր}, եթէ իմ բանք երախտագիտութեան թուին ձեզ ոչ բաւականաչափ անկեղծք:
dlga_lord_talk:lord_quest_intrigue_result|Ըստ ձերոյ խնդրանաց {s5} արդ գիտէ վասն վտանգի, բխողի ի {s4}.
dlga_lord_quest_intrigue_result:lord_pretalk|Այո՛, մեք լուաք: Յուսամ, զի արդ {s4} երկիցս խորհեսցի, յառաջ քան շնորհել զկալուածս, զտիտղոսս եւ զպատիւս գգուեալ օձին: Մեք երախտապարտ եմք ձեզ:
dlga_lord_quest_intrigue_result:close_window|Զայս մեք լուաք – բայց աւա՜ղ, թուի, թէ այս անց ընդ ականջաւք {s5}. Այնուամենայնիւ, մեք երախտապարտ եմք վասն ձերոյ ջանից:
dlga_lord_talk:lord_lend_companion_end|{s14} – է իմ մարդն, եւ ես կամէի յետս ընկալնուլ {reg3?զնա:զնա}, {s65}, եթէ դուք այլեւս ոչ ունիք պէտս {reg3?նորա:նորա} ծառայութեանց:
dlga_lord_lend_companion_end:lord_pretalk|Ի ձերում գնդի արդէն իսկ բազում են մարտիկք, {playername}. Դուք ոչ կարէք վարել առաւել մարդիկ, քան արդ:
dlga_lord_lend_companion_end:lord_pretalk.1|Անշո՛ւշտ, {playername}. {reg3?Նա տակաւին մատաղ օրիորդ է:Նա տակաւին մատաղ պատանի է}: Ձեզ յաջողեցաւ, զի ունիք այսպիսի արժանի ուղեկիցս:
dlga_lord_talk:lord_ask_to_collect_debt|Ես աստ եմ, զի գանձեցից ի ձէնջ զդրամս, զորս եդ ձեզ {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Այդպէ՞ս?.. {s1} արդարեւ փոխ եդ ինձ ոսկի վասն դարձի ճանապարհի, բայց ես ի յանցեալն մատուցի նմա բազում ծառայութիւնս եւ խորհիմ, զի մեք եմք ի հաշուի:
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} խորհի, թէ պարտքն տակաւին կայ: Նա խնդրեաց զիս խօսիլ ընդ ձեզ յանուն իւր:
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Յայնժամ ես այլեւս ոչ պնդեցից:
dlga_convince_accept:close_window|{s8} արդարեւ փոխ եդ ինձ ոսկի, եւ ժամանակ վճարման վաղուց անցեալ է, այնպէս որ ես յոյժ շփոթեալ եմ: Մեծ շնորհակալութիւն, զի տանջիք նմա զդրամսն: Խնդրեմ, մատուցէ՛ք նմա զքսակն ընդ {reg10} ոսկւոյ եւ զիմ երախտագիտութիւնն:
dlga_lord_talk:lord_ask_to_make_peace|Խնդրեմ զձեզ, {s64}! Զպատերազմն, զոր վարեն ընդ միմեանս {s12} եւ {s13}, վաղուց ժամ է դադարեցուցանել!
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Ա՞: Հաստատուն ոչ եմ, թէ ըմբռնեմ զձեզ, {playername}. Վասն պատերազմի ոչ է պարտ պարզապէս մոռանալ: Ես ունիմ, տեսանէ՞ք, յոյժ բարի յիշատակ... Յորմէ՞ հիմանէ ես կնքեցից խաղաղութիւն ընդ այդոսիկ անպիտանս?
dlga_lord_ask_to_make_peace_2:convince_begin|Թերեւս, ես կարացից համոզել զձեզ...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Փոյթ ոչ է: Արդ արդարեւ ժամանակ ոչ է վասն խաղաղութեան...
dlga_convince_accept:close_window.1|Դուք... համոզեցէք զիս, {playername}. Բարի, ես տամ ձեզ զիմ օրհնութիւնն, փոխանցեցէ՛ք {s14} առաջարկութիւն վասն խաղաղութեան: Նոքա կարեն ոչ ընդունել զայն, բայց եթէ նոքա համամիտ լիցին, ապա եւ ես համամիտ եմ խաղաղութեան:
dlga_lord_talk:lord_challenge_duel_for_lady|Ասեն, թէ դուք բանսարկէք զ{s1}. Ես պահանջեմ ի ձէնջ յետս կոչել զձեր բանս!
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Մի՞թէ այսոքիկ են ամբաստանութիւնք? Նոյնիսկ մանկունք գիտեն, զի նա ննջէ ընդ իւրոց ախոռապանաց եւ ընդ ամենայնի, որում հասանէ մինչ ամուսին նորա ի բացակայութեան է: Ես սոսկ կրկնեմ զայն, զինչէ խօսին ամենեսեան... Այո՛ եւ ես ինքնին քանի մի նուագ շոշափեցի զնա, այնպէս որ...
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|Դուք ուրասջի՞ք զայս ստութիւն, թէ՞ ապացուցանեսջիք զայն ընդդէմ իմոյ սրոյ!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Կամք ձեր են...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Թողէ՛ք զձեր յաւակնութիւնս ի վերայ {s5}!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Ապա թէ ոչ զի՞նչ: Դուք պատրաստիք մարտնչել վասն տիկնոջ? Յայտնեցից ձեզ զգաղտնիք՝ տէրն մեր ոչ հաճի ընդ այսպիսի բարկութիւն: Մանաւանդ արդ, յորժամ թշնամին առ դրանս է եւ ամենայն մարտիկ ի հաշուի է:
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Երկնչի՞ք մարտնչել ընդ իս?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Ներեցէ՛ք: Ինձ ոչ էր պարտ այնպէս բորբոքիլ...
dlga_lord_talk:lord_message_delivered|{s9} փոխանցէ ձեզ պատգամ:
dlga_lord_message_delivered:lord_pretalk|Իրապէ՞ս? Թոյլ տո՛ւք տեսանել... Տեսէ՛ք դուք! Բարւոք է, զի դուք մատուցէք ինձ զայս պատգամ, {playername}. Առէ՛ք զիմ կնիք որպէս ապացոյց, զի ես ընկալայ զայն, եւ փոխանցեցէ՛ք {s9} զիմ ողջոյնն:
