ui_music_volume|Երաժշտութիւն:
ui_capital_versus|--ԸՆԴԴԷՄ--
ui_tracks|Հետք
ui_battleground|Մարտադաշտ
ui_order_1|Ընտրել 1-ին գունդն
ui_order_2|Ընտրել 2-րդ գունդն
ui_order_3|Ընտրել 3-րդ գունդն
ui_order_4|Ընտրել 4-րդ գունդն
ui_order_5|Ընտրել 5-րդ գունդն
ui_order_6|Ընտրել 6-րդ գունդն
ui_order_button_hold_this_position|Կալ յայսմ տեղւոջ
ui_order_button_follow_me|Եկա՛յք զկնի իմ
ui_order_button_charge|Յարձակում
ui_order_button_stand_ground|Պահել զտեղին
ui_order_button_retreat|Նահանջել
ui_order_button_advance|Տասն քայլ յառաջ
ui_order_button_fall_back|Տասն քայլ յետս
ui_order_button_spread_out|Ցրուել
ui_order_button_stand_closer|Կալ մերձ միմեանց
ui_order_button_mount_horses|Հեծնուլ ի ձիս
ui_order_button_dismount|Իջանել ի ձիոյ
ui_order_button_hold_fire|Մի՛ արձակել զնետս
ui_order_button_fire_at_will|Արձակումն նետից ըստ կամաց
ui_order_button_use_blunt_weapons|Գործածել միայն զբութ զէնս
ui_order_button_use_any_weapon|Գործածել զամենայն զէնս
ui_order_button_movement_orders|Հրամանք շարժման
ui_order_button_formation_orders|Հրամանք շարուածոյ
ui_order_button_fire_orders|Հրամանք նետաձգութեան
ui_follow_me_e_|%s, եկա՛յք զկնի իմ!
ui_charge_e_|%s, յարձակո՜ւմ!!!
ui_stand_ground_e_|%s, կացէ՛ք ի տեղւոջ ձերում!
ui_retreat_e_|%s, նահանջեցէ՛ք!
ui_mount_horses_e_|%s, հեծարո՛ւք ի ձիս!
ui_dismount_e_|%s, իջէ՛ք ի ձիոյ!
ui_advance_e_|%s, տասն քայլ յառաջ!
ui_fall_back_e_|%s, տասն քայլ յետս!
ui_stand_closer_e_|%s, կացէ՛ք մերձ միմեանց!
ui_spread_out_e_|%s, ցրուեցարո՛ւք!
ui_use_blunt_weapons_e_|%s, գործածեցէ՛ք զբութ զէնս!
ui_use_any_weapon_e_|%s, գործածեցէ՛ք զամենայն զէնս!
ui_hold_fire_e_|%s, դադարեցո՛ւ զնետաձգութիւնն!
ui_fire_at_will_e_|%s, արձակեցէ՛ք զնետս ըստ կամաց!
ui_hold_this_position_e_|%s, կացէ՛ք յայսմ տեղւոջ!
ui_infantry|Հետեւակք
ui_archers|Աղեղնաւորք
ui_cavalry|Հեծելազօր
ui_companions|Արբանեակք (Յոլորդք)
ui_everyone_hear_me|Ամենեքին լուարո՛ւք ինձ!
ui_everyone|Ամենեքին
ui_everyone_around_me|Մերձակայ զինուորք
ui_str_hear_me|%s, լուարո՛ւք ինձ!
ui_str_and_str|%s եւ %s
ui_str_comma_str|%s, %s
ui_need_to_learn_prisoner_management|Վասն գերեվարութեան պարտ է ձեզ ուսանել զկարողութիւն գերեվարութեան:
ui_game_log|Հաշուեմատեան խաղի
ui_recent_messages|Վերջին պատգամք
ui_custom_battle|Արագ մարտ
ui_player|Խաղացող
ui_value_denars|%d դահեկան
ui_back|Յետս
ui_forward|Յառաջ
ui_display_on_map|Ցուցանել ի քարտէսի
ui_info_pages|Հասկացութիւնք խաղի
ui_troops2|Կերպարք
ui_locations|Վայրք
ui_click_button_to_view_note|Սեղմեցէ՛ք վասն տեղեկութեան:
ui_this_page_contains_no_information|Այս էջ ոչ պարունակէ տեղեկութիւնս
ui_other_pages_that_link_here|Այլ էջք, որք յարին աստ:
ui_report_is_value_days_old| (Հաշուետուութիւնն է %d աւուրց հնութեան:)
ui_report_is_current| (Հաշուետուութիւնն է արդիական)
ui_button_party_member_healthy_total|%s (%d/%d)
ui_button_party_member_total|%s (%d)
ui_button_party_member_hero_percentage_wounded|%s (%d%% - վիրաւոր)
ui_button_party_member_hero_percentage|%s (%d%%)
ui_percentage_value|%d%%
ui_full|Լի
ui_quick|Արագ
ui_none|Չիք
ui_change|Փոխել
ui_how_to_change|Ո՞րպէս փոխել?
ui_change_directx_explanation|Կարող էք փոխել զDirectX տարբերակն ի կարգաւորութիւնս սկզբնական էկրանի:
ui_dropping_picking_up| %s լքանի; %s առնուի:
ui_dropping|%s լքանի:
ui_picking_up| %s առնուի:
ui_unable_to_take|Ոչ կարեմ առնուլ զայս:
ui_age|Տարիք
ui_cannot_be_used_on_horseback|Ոչ կարէ գործածիլ ի ձիոյ վերայ:
ui_enable_vertex_shaders2|Կերպ գծագրութեան:
ui_screen_size2|Որոշակիութիւն էկրանի:
ui_use_desktop_resolution2|Գործածել զորոշակիութիւն աշխատասեղանի
ui_shadow_quality2|Որակ ստուերաց:
ui_m_low2|Ցածր
ui_m_high2|Բարձր
ui_m_ultra_high2|Յոյժ բարձր
ui_off2|Անջատեալ
ui_group_header|Դաս գնդի
ui_group_rename|Վերանուանել զգունդն
ui_group_1|Հետեւակք
ui_group_2|Աղեղնաւորք
ui_group_3|Հեծելազօր
ui_group_4|Անանուն 1
ui_group_5|Անանուն 2
ui_group_6|Անանուն 3
ui_group_7|Անանուն 4
ui_group_8|Անանուն 5
ui_group_9|Անանուն 6
ui_group_rename|Վերանուանել զգունդն
ui_group_close|Փակել
ui_party_b_group_information|%s, պատկանի %s գնդին
ui_thrown_or_s|Նետողական/%s
ui_ranged_damage|Հեռաձիգ: %d%s
ui_overall_quality|Ընդհանուր որակ
ui_shader_quality|Որակ շեյդերաց:
ui_flora_lod_detail|Մանրամասնութիւնք ծառոց:
ui_flora_degrade_distance|Հեռաւորութիւն նուազման ծառոց:
ui_antialiasing|Հարթեցում եզերաց:
ui_use_depth_effects|Գործածել զազդեցութիւն խորութեան
ui_hdr_mode|HDR կերպ:
ui_autoexpore|Ինքնաբերական պայծառութիւն
ui_choose_profile|Ընտրել զպատկեր (պրոֆիլ)
ui_create|Ստեղծել
ui_edit|Խմբագրել
ui_join_game|Մտանել ի խաղ
ui_host_game|Սկսանել զխաղ
ui_custom|Յատուկ
ui_medium|Միջին
ui_male|Արական
ui_female|Իգական
ui_gender|Ընտրութիւն սեռի:
ui_edit_profile|Խմբագրել զպատկերն
ui_new_profile|Նոր դիմագիծ
ui_enter_username|Գրեցէ՛ք զանուն օգտատիրոջ:
ui_invalid_username|Անունն կարէ պարունակել միայն զտառս, զթիւս եւ զնշանս _ - [ ] * ~.
ui_confirmation|Վստա՞հ էք:
ui_multiplayer|Խաղ բազմամարդի
ui_server_name|Սերվեր
ui_module_name|Մոդուլ
ui_game_type|Տեսակ խաղի
ui_map_name|Քարտէս
ui_ping|Պինգ
ui_dedicated|Յատկացեալ
ui_number_of_players|Խաղացողք
ui_password_protected|Գաղտնաբառ
ui_connect|Միանալ
ui_local_area_network|Տեղական ցանց
ui_internet|Համացանց
ui_favorites|Ընտրեալք
ui_source|Աղբիւր:
ui_server_password|Գաղտնաբառ սերվերի:
ui_refresh|Նորոգել
ui_start_search|Սկսանել զխնդիր
ui_add_to_favorites|Յաւելուլ ի ընտրեալս
ui_remove_from_favorites|Հանել ի ընտրելոց
ui_use_speedtree|Գործածել Speedtree
ui_use_instancing|Գործածել ինստանսինգ:
ui_error|Սխալ
ui_error_server_full|Սերվերն լի է:
ui_error_server_full_for_non_private|Չիք տեղի ի սերվերի վասն այնոց, որք ոչ ունին զգաղտնաբառ:
ui_error_server_password_incorrect|Սխալ գաղտնաբառ:
ui_error_incorrect_serial|Սխալ սերիական թիւ:
ui_error_incorrect_authorization_key|Սխալ բանալի մտանելոյ:
ui_error_banned_from_server|Դուք արտաքսեցայք ի սերվերէն:
ui_error_username_taken|Անուն պատկերի ձերոյ արդէն գործածի յայլմէ խաղացողէ:
ui_error_authentication_failed|Մուտքն ձախողեցաւ:
ui_unable_to_connect_to_server|Ոչ կարեմ միանալ առ սերվերն:
ui_connection_to_server_is_lost|Կապն ընդ սերվերի կորեաւ:
ui_kicked_from_server|Դուք արտաքսեցայք ի սերվերէն:
ui_switch_to_module_question|Այս սերվեր գործէ յայլմէ մոդուլէ, քան զայն զոր դուք գործածէք: Կամի՞ք փոխել զայն:
ui_download_module_question|Այս սերվեր գործէ ի մոդուլէ, որ ոչ է ձեզ մօտ: Կամի՞ք այցելել զէջ ներբեռնման:
ui_download_mb_new_version_question|Այս սերվեր ունի զնորագոյն տարբերակ (%d.%d%d%d, ձերն է: %d.%d%d%d): Կամի՞ք այցելել զէջ TaleWorlds:
ui_download_mb_old_version_question|Այս սերվեր ունի զհնագոյն տարբերակ (%d.%d%d%d, ձերն է: %d.%d%d%d):
ui_download_module_new_version_question|Այս սերվեր գործէ ի նորագոյն տարբերակէ մոդուլի (%d.%d%d%d, ձերն է %d.%d%d%d): Կամի՞ք այցելել զէջ ներբեռնման:
ui_download_module_old_version_question|Այս սերվեր գործէ ի հնագոյն տարբերակէ մոդուլի (%d.%d%d%d, ձերն է %d.%d%d%d):
ui_authenticating_with_steam|Մուտք ի Steam...
ui_validating_serial_number|Ստուգումն սերիական թուոյ...
ui_scanning_lan|Որոնումն ի տեղական ցանցի...
ui_retrieving_servers|Ընդունումն ցուցակի սերվերաց...
ui_shield_size2|Չափ: %dx%d
ui_click_to_view_notes|Սեղմեցէ՛ք վասն տեսանելոյ զնոթսն
ui_retrieving_server_infos|Ընդունումն տեղեկութեանց ի սերվերաց(%d)...
ui_connecting_to_server|Միացումն առ սերվերն...
ui_requesting_to_join_the_game|Հայց մտանելոյ ի խաղ...
ui_loading|Բեռնումն...
ui_group_value_control|Գունդ %d!
ui_drop_weapon|Թողուլ զզէնն
ui_multiplayer_message_all|Առաքել պատգամ ամենեցուն
ui_multiplayer_message_team|Առաքել պատգամ գնդին
ui_command_line|Տող հրամանաց
ui_use_ranged_weapon_as_melee|Փոխել զկերպ զինու
ui_send_message_all|Առաքել պատգամ ամենեցուն
ui_send_message_team|Առաքել պատգամ գնդին
ui_select|Ընտրել
ui_context_menu|Մենիւ համատեքստի
ui_round_starts_in_value_seconds|Շրջանն սկսանի յետ %d վայրկենաց...
ui_watching_value|Յաջորդն %s
ui_capital_spec|ԴԻՏ
ui_capital_dead|ՄԵՌ
ui_instancing_error1|Սխալ ի պատճենման մոդելաց (թիւ: %d, Սխալի կոդ: %d)
ui_instancing_error2|Ոչ կարեմ դնել զպատճենեալ առարկայսն
ui_by_keyboard|Գործածելով զկոճակս շարժման
ui_combat_speed_slowest|Յոյժ դանդաղ
ui_combat_speed_slower|Դանդաղ
ui_combat_speed_normal|Բնական
ui_combat_speed_faster|Արագ
ui_combat_speed_fastest|Յոյժ արագ
ui_module_newer_than_application|Խաղն նորագոյն է քան զկիրառութիւնն:
ui_module_older_than_application|Խաղն հնագոյն է քան զկիրառութիւնն:
ui_unbalanced|Անհաւասարակշիռ
ui_can_crush_through_blocks|Կարող է խոցել զպաշտպանութիւնն
ui_turn_camera_with_horse|Դարձուցանել զտեսախցիկն ընդ ձիոյ ի տեսողութեան յառաջին դիմաց:
ui_widescreen_mode_on|Կերպ լայն էկրանի միացեալ
ui_widescreen_mode_off|Կերպ լայն էկրանի անջատեալ
ui_notification_cant_upgrade|(Ոչ կարէ բարձրացնել: չիք բաւական դրամ)
ui_turn_never|Ոչ երբեք
ui_turn_ranged_only|Միայն հեռաձիգք
ui_turn_melee_only|Միայն սերողականք
ui_turn_always|Հանապազ
ui_general_options|Ընդհանուր կարգաւորութիւնք
ui_vac_enabled|Valve Anti Cheat գործուն է
ui_campaign_ai|Միտք արուեստական մարտավարութեան:
ui_downloading_map|Ներբեռնումն քարտէսի (%d KB)
ui_download_completed|Ներբեռնումն աւարտեցաւ:
ui_server_filter|Զտիչ սերվերաց
ui_has_players|Ունիցի զխաղացողս
ui_is_not_full|Ոչ իցէ լի
ui_is_password_free|Առանց գաղտնաբառի
ui_native_only|Միայն Native
ui_ping_limit|Սահման պինգի
ui_filter_info|%d խաղք եւ %d խաղացողք զտեցան
ui_is_version_compatible|Համատեղելի ընդ մոդուլի
ui_ttnet_account|Հաշիւ TTNET
ui_username|Անուն օգտատիրոջ:
ui_password|Գաղտնաբառ:
ui_error_incorrect_username_or_password|Սխալ անուն կամ գաղտնաբառ:
ui_validating_account|Ստուգումն հաշուի...
ui_plase_enter_your_serial_key|Գրեցէ՛ք զսերիական թիւ ձեր
ui_texture_detail2|Մանրամասնութիւնք կառուցուածոյ:
ui_antialiasing2|Հարթեցում եզերաց:
ui_napoleonic_key_does_not_exist|Այս մոդն պահանջէ զNapoleonic Wars DLC վասն խաղալոյ!
ui_delete_module_workshop|Վստա՞հ էք, զի կամիք ջնջել եւ չեղարկել զբաժանորդագրութիւնն այսր մոդի:
ui_delete_module|Վստա՞հ էք, զի կամիք ջնջել զայս մոդ:
ui_delete_native_module|Դուք ոչ կարէք ջնջել զNative:
ui_incompatible_module|Այս սերվեր ոչ է համատեղելի ընդ ձերոյ մոդուլի.
ui_view_distance|Հեռաւորութիւն տեսողութեան:
ui_complex|Բարդ
ui_very_slow|Յոյժ դանդաղ
ui_tutorial_panel|Վահանակ ուսուցման
ui_simple|Պարզ
ui_combat_difficulty|Դժուարութիւն մարտի:
ui_blood_multiplier|Բազմապատկիչ արեան:
ui_looting_items|Յափշտակել զիրսն
ui_merchant_doesnt_have_enough_money|(Վաճառականն ոչ ունի բաւական դրամ)
ui_control_options|Ընտրանիք կառավարման
ui_inventory_capacity_reached|(Շտեմարանն լի է)
ui_selling_to|Վաճառել առ:
ui_trading_with|Առեւտուր ընդ:
ui_max_framerate|Առաւելագոյն յաճախութիւն կադրաց:
ui_fast|Արագ
ui_weapon_points_on_level_up|Միաւորք զինուց ի բարձրացման աստիճանի:
ui_taking_items_from_chest|Առնուլ զիրսն յարկղէն
ui_foliage_shadows|Ստուերք տերեւոց:
ui_foliage_quality|Որակ տերեւոց:
lockitver|ՄԻ՛ ՋՆՋԵՔ ԶԱՅՍ ՏՈՂ! 2665
ui_shadow_quality|Որակ ստուերաց:
ui_very_fast|Յոյժ արագ
ui_ultra|Վերին
ui_you_dont_have_enough_money|(Չիք ձեզ բաւական դրամ)
ui_buying_cost_value|Գին գնման: %s
ui_only_near|Միայն մերձակայ
ui_texture_detail|Մանրամասնութիւնք կերպասի:
ui_game_options|Ընտրանիք խաղի
﻿ui_buying_from|Գնել ի:
ui_discard_items|Ջնջել զիրսն
ui_selling_value|Վաճառք: %s
ui_transferring_goods|Փոխանցել զապրանսն
ui_slow|Դանդաղ
ui_audio_options|Ընտրանիք ձայնի
ui_ragdoll_effects|Ազդեցութիւնք մարմնոյ:
ui_create_profile|Ստեղծել զպատկեր
